CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
320128.0,Essential hypertension,Condition,SNOMED,Disorder,S,59621000,8814424,430703,1899-12-30,2026-02-25
432867.0,Hyperlipidemia,Condition,SNOMED,Disorder,S,55822004,4306992,263727,1899-12-30,2026-02-25
4193704.0,Type 2 diabetes mellitus without complication,Condition,SNOMED,Disorder,S,313436004,3537360,172984,1899-12-30,2026-02-25
433736.0,Obesity,Condition,SNOMED,Disorder,S,414916001,2777727,425689,1969-01-01,2026-02-25
764123.0,Atherosclerosis of coronary artery without angina pectoris,Condition,SNOMED,Disorder,S,451041000124103,2165509,106442,2000-09-18,2026-02-25
4144111.0,Gastroesophageal reflux disease without esophagitis,Condition,SNOMED,Disorder,S,266435005,2152989,165105,1899-12-30,2026-02-25
77670.0,Chest pain,Condition,SNOMED,Clinical Finding,S,29857009,2104584,267478,1969-05-28,2026-02-25
201826.0,Type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,44054006,1975135,106695,1955-06-30,2026-02-25
319835.0,Congestive heart failure,Condition,SNOMED,Disorder,S,42343007,1800266,85415,1969-11-13,2026-02-25
312437.0,Dyspnea,Condition,SNOMED,Clinical Finding,S,267036007,1783930,213496,1996-05-01,2026-02-25
442077.0,Anxiety disorder,Condition,SNOMED,Disorder,S,197480006,1692940,153418,1980-08-05,2026-02-25
313217.0,Atrial fibrillation,Condition,SNOMED,Disorder,S,49436004,1678917,87356,1949-05-01,2026-02-25
194133.0,Low back pain,Condition,SNOMED,Clinical Finding,S,279039007,1580535,145984,1899-12-30,2026-02-25
434005.0,Morbid obesity,Condition,SNOMED,Disorder,S,238136002,1533206,149978,1899-12-30,2026-02-25
197320.0,Acute kidney injury,Condition,SNOMED,Disorder,S,14669001,1479094,108311,1984-01-01,2026-02-25
4218813.0,Third trimester pregnancy,Condition,SNOMED,Clinical Finding,S,41587001,1419028,40246,2005-09-15,2026-02-25
254761.0,Cough,Condition,SNOMED,Clinical Finding,S,49727002,1399777,235587,1899-12-30,2026-02-25
442588.0,Obstructive sleep apnea syndrome,Condition,SNOMED,Disorder,S,78275009,1377048,96090,1899-12-30,2026-02-25
193782.0,End-stage renal disease,Condition,SNOMED,Disorder,S,46177005,1326355,35320,1899-12-30,2026-02-25
439777.0,Anemia,Condition,SNOMED,Disorder,S,271737000,1254617,155840,1960-06-29,2026-02-25
140673.0,Hypothyroidism,Condition,SNOMED,Disorder,S,40930008,1240346,85075,1899-12-30,2026-02-25
78232.0,Shoulder joint pain,Condition,SNOMED,Clinical Finding,S,267949000,1103506,101468,1899-12-30,2026-02-25
255573.0,Chronic obstructive pulmonary disease,Condition,SNOMED,Disorder,S,13645005,1068409,78006,1899-12-30,2026-02-25
444094.0,Finding related to pregnancy,Condition,SNOMED,Clinical Finding,S,118185001,1060727,61637,1959-01-01,2026-02-24
436070.0,Vitamin D deficiency,Condition,SNOMED,Disorder,S,34713006,1052826,86036,1899-12-30,2026-02-25
439727.0,Human immunodeficiency virus infection,Condition,SNOMED,Disorder,S,86406008,1029770,10632,1899-12-30,2026-02-25
137809.0,Primary malignant neoplasm of female breast,Condition,SNOMED,Disorder,S,93796005,974811,21767,1899-12-30,2026-02-25
254061.0,Pleural effusion,Condition,SNOMED,Disorder,S,60046008,954735,116432,1989-01-01,2026-02-25
4209423.0,Nicotine dependence,Condition,SNOMED,Disorder,S,56294008,922925,143432,1967-06-10,2026-02-25
4244438.0,Second trimester pregnancy,Condition,SNOMED,Clinical Finding,S,59466002,920872,36044,1899-12-30,2026-02-25
378253.0,Headache,Condition,SNOMED,Clinical Finding,S,25064002,919032,151941,1952-03-27,2026-02-25
200219.0,Abdominal pain,Condition,SNOMED,Clinical Finding,S,21522001,899806,162873,1996-10-01,2026-02-25
