CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
36249711,250 ML glucose 100 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1795480,1782528,311810,2010-07-25,2025-12-31
19135374,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,847630,1462158,382354,2005-06-13,2026-01-06
1127433,acetaminophen 325 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,313782,1290818,405416,2009-04-13,2026-01-27
35603428,2 ML fentanyl 0.05 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1735003,1173448,325034,2010-07-25,2025-12-31
40220357,1000 ML sodium chloride 9 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1807639,1143030,306920,2010-07-24,2026-01-27
40232756,oxycodone hydrochloride 5 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,1049621,1038221,267822,2000-09-02,2026-01-06
19070869,ondansetron 2 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,283504,963222,290475,2010-08-02,2026-01-26
46234049,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",Drug,RxNorm,Quant Branded Drug,S,1653204,955654,152112,2004-02-23,2025-12-31
19077653,glucose 4000 MG Chewable Tablet,Drug,RxNorm,Clinical Drug,S,310519,786214,273130,2010-08-26,2025-12-18
35605482,2 ML ondansetron 2 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1740467,651187,227429,2010-01-05,2018-06-24
43011884,"heparin sodium, porcine 10 UNT/ML Prefilled Syringe",Drug,RxNorm,Clinical Drug,S,1362049,506271,58859,2017-02-05,2026-01-27
19080217,pantoprazole 40 MG Delayed Release Oral Tablet,Drug,RxNorm,Clinical Drug,S,314200,492852,219061,2004-05-18,2026-01-01
967823,sodium chloride,Drug,RxNorm,Ingredient,S,9863,476307,141874,2009-09-30,2026-01-12
1502910,3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus],Drug,RxNorm,Quant Branded Drug,S,847232,470042,70945,2008-01-10,2026-01-05
46275280,50 ML magnesium sulfate 40 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1658259,430542,140802,2010-08-03,2026-01-22
1707772,vancomycin 50 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,313572,423893,120016,2010-07-08,2025-12-31
46275999,influenza B virus antigen,Drug,RxNorm,Ingredient,S,1657134,394460,147925,2010-07-25,2025-12-18
1560751,50 ML glucose 500 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,727517,375181,98652,2010-07-25,2025-12-18
19078924,midazolam 1 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,311700,374064,150706,2010-07-24,2025-12-18
42708658,docusate sodium 100 MG Oral Capsule [Colace],Drug,RxNorm,Branded Drug,S,1247756,366073,190884,2004-04-20,2025-12-23
19077548,gabapentin 300 MG Oral Capsule,Drug,RxNorm,Clinical Drug,S,310431,363415,124926,2000-01-27,2026-01-06
938330,"sennosides, USP 8.6 MG Oral Tablet",Drug,RxNorm,Clinical Drug,S,312935,360843,177027,2010-07-25,2025-12-31
43526056,cholecalciferol 0.01 MG / glucose 4000 MG Chewable Tablet,Drug,RxNorm,Clinical Drug,S,1375985,344777,148468,2012-03-06,2018-07-10
40167261,polyethylene glycol 3350 17000 MG Powder for Oral Solution [Miralax],Drug,RxNorm,Branded Drug,S,876195,343362,176584,2008-03-19,2026-01-01
40167213,metoprolol tartrate 25 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,866924,335928,113626,2000-09-02,2025-12-31
19134047,tramadol hydrochloride 50 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,835603,333833,127414,2004-07-14,2026-01-18
40231925,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,1049221,331202,141263,2010-07-25,2026-01-21
40163473,trazodone hydrochloride 50 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,856377,326005,135417,2003-01-31,2025-12-31
40223140,1 ML morphine sulfate 2 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,998212,323804,166559,2010-07-25,2025-12-18
1113346,aspirin 81 MG Chewable Tablet,Drug,RxNorm,Clinical Drug,S,318272,320379,129919,2003-10-29,2026-01-11
40221386,250 ML sodium chloride 9 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1807633,317639,62059,2010-07-25,2026-01-27
46287338,cefazolin 1000 MG Injection,Drug,RxNorm,Clinical Drug,S,1665050,315365,137315,2010-10-29,2025-12-18
19019073,ibuprofen 600 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,197806,307610,150047,2001-01-01,2025-12-23
35603227,4 ML furosemide 10 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1719291,304929,70664,2010-07-25,2026-01-02
1592528,1 ML hydromorphone hydrochloride 2 MG/ML Prefilled Syringe [Dilaudid],Drug,RxNorm,Quant Branded Drug,S,1872269,298148,93496,2010-07-25,2025-11-21
40232444,diphenhydramine hydrochloride 25 MG Oral Capsule,Drug,RxNorm,Clinical Drug,S,1049909,297825,113270,2006-01-17,2026-01-27
1718735,100 ML potassium chloride 0.2 MEQ/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1860239,293411,103662,2010-02-06,2026-01-22
46287372,1 ML lorazepam 2 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1665188,290097,74604,2010-07-24,2026-01-23
35603805,1 ML hydromorphone hydrochloride 2 MG/ML Cartridge,Drug,RxNorm,Quant Clinical Drug,S,1724644,267425,103530,2018-06-22,2026-01-14
1332419,amlodipine 5 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,197361,260907,100498,2001-01-01,2026-01-07
40168116,ondansetron 4 MG Disintegrating Oral Tablet [Zofran],Drug,RxNorm,Branded Drug,S,876690,260307,155279,2010-07-25,2025-12-31
967434,simethicone 80 MG Chewable Tablet,Drug,RxNorm,Clinical Drug,S,314216,257951,134919,2010-07-25,2025-12-31
36249718,50 ML glucose 500 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1795514,253583,62596,2010-07-25,2018-06-19
46275794,1 ML naloxone hydrochloride 0.4 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1659929,250614,147964,2010-07-25,2025-12-18
19072321,aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension,Drug,RxNorm,Clinical Drug,S,307746,249664,153610,2010-07-25,2025-12-18
40174776,1 ML hydralazine hydrochloride 20 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,966571,245876,142803,2010-07-25,2025-12-31
1154660,200 ACTUAT albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray,Drug,RxNorm,Quant Clinical Drug,S,836286,244261,90453,2004-04-01,2025-12-19
19041823,bisacodyl 10 MG Rectal Suppository [Bisac-Evac],Drug,RxNorm,Branded Drug,S,209597,234918,132326,2010-07-25,2025-12-19
989878,lidocaine,Drug,RxNorm,Ingredient,S,6387,225706,120130,2009-05-08,2025-12-22
704944,methocarbamol 500 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,197943,218696,115663,2008-12-04,2025-12-31
19049106,potassium chloride 20 MEQ Extended Release Oral Tablet,Drug,RxNorm,Clinical Drug,S,198116,217402,72281,2009-08-15,2025-12-31
43011826,"heparin sodium, porcine 1000 UNT/ML Injectable Solution",Drug,RxNorm,Clinical Drug,S,1361226,212541,54993,2010-07-25,2025-12-18
40160974,0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],Drug,RxNorm,Quant Branded Drug,S,854236,211912,123576,2010-07-27,2025-12-31
1593611,potassium chloride 20 MEQ Powder for Oral Solution,Drug,RxNorm,Clinical Drug,S,1867544,209102,62794,2010-08-11,2025-12-31
36249687,1000 ML glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1795250,205194,97377,2010-07-25,2025-12-18
36250167,fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Flonase],Drug,RxNorm,Branded Drug,S,1797933,198010,94371,2005-09-15,2026-01-01
40167196,5 ML metoprolol tartrate 1 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,866508,196761,109979,2010-07-25,2025-12-18
19135631,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Bactrim],Drug,RxNorm,Branded Drug,S,849580,194614,110088,2001-05-21,2025-12-23
40223141,1 ML morphine sulfate 4 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,998213,192718,91308,2004-01-01,2025-12-18
19019113,lorazepam 1 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,197901,191467,55565,2005-04-11,2026-01-12
40162522,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,857005,189004,79586,2000-07-06,2026-01-22
