CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
45768258.0,Basic diagnostic x-ray system,Device,SNOMED,Physical Object,S,706294009,4910390,668106,2003-12-12,2026-03-08
45768256.0,Computed tomography system thermography system,Device,SNOMED,Physical Object,S,706289009,2561741,483679,2003-12-12,2026-03-08
4151913.0,Diagnostic imaging equipment,Device,SNOMED,Physical Object,S,314789007,2389145,537081,2003-12-12,2026-03-06
45768281.0,Ultrasound imaging system,Device,SNOMED,Physical Object,S,706332007,1082521,356074,2003-12-12,2026-03-08
4234381.0,Magnetic resonance imaging unit,Device,SNOMED,Physical Object,S,90003000,688739,238159,2003-12-22,2026-03-05
45768274.0,Mammographic x-ray system,Device,SNOMED,Physical Object,S,706318005,611983,81492,2003-12-31,2026-03-05
45768276.0,Nuclear medicine system,Device,SNOMED,Physical Object,S,706321007,183997,104650,2003-12-12,2026-03-05
4121561.0,ECG lead,Device,SNOMED,Physical Object,S,257467001,92712,48708,2010-11-30,2021-06-20
45757906.0,PET system,Device,SNOMED,Physical Object,S,462323006,73537,30692,2004-01-30,2026-03-03
2720870.0,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",Device,HCPCS,HCPCS,S,Q9967,61674,33237,2009-06-12,2026-02-11
2720860.0,"Injection, perflutren lipid microspheres, per ml",Device,HCPCS,HCPCS,S,Q9957,51349,35937,2010-01-13,2026-02-12
4223622.0,Implant,Device,SNOMED,Physical Object,S,40388003,46729,25988,2004-11-03,2026-03-05
2615373.0,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",Device,HCPCS,HCPCS,S,A9552,37056,18233,2012-01-03,2026-02-13
2211851.0,"Treatment devices, design and construction; complex (irregular blocks, special shields, compensators, wedges, molds or casts)",Device,CPT4,CPT4,S,77334,36061,23144,2009-03-03,2026-02-11
2615397.0,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Device,HCPCS,HCPCS,S,A9579,16644,11363,2009-04-03,2024-10-10
2615322.0,"Technetium tc-99m sestamibi, diagnostic, per study dose",Device,HCPCS,HCPCS,S,A9500,16386,14489,2009-12-15,2025-11-05
2615309.0,Non-covered item or service,Device,HCPCS,HCPCS,S,A9270,13009,4699,2010-01-28,2026-02-11
2719425.0,"Cervical, collar, semi-rigid thermoplastic foam, two-piece, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L0172,12867,12278,2009-11-27,2026-02-03
2719876.0,"Wrist hand orthosis, wrist extension control cock-up, non molded, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3908,10754,9642,2009-09-14,2026-02-11
2719965.0,"Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L4386,8460,8066,2009-12-23,2026-02-10
2719609.0,"Ankle orthosis, ankle gauntlet or similar, with or without joints, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L1902,8024,7348,2009-11-30,2026-02-09
2719504.0,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panels, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure t...",Device,HCPCS,HCPCS,S,L0637,7506,7066,2010-07-21,2026-02-03
2719532.0,"Addition to spinal orthosis, not otherwise specified",Device,HCPCS,HCPCS,S,L0999,6643,5287,2009-11-27,2025-04-14
2615321.0,Exercise equipment,Device,HCPCS,HCPCS,S,A9300,6578,5490,2009-12-02,2026-02-11
2615405.0,"Miscellaneous dme supply, accessory, and/or service component of another hcpcs code",Device,HCPCS,HCPCS,S,A9900,6381,3613,2009-07-07,2026-02-13
44786594.0,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L4361,5881,5479,2014-09-15,2026-02-12
2719591.0,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L1832,5045,4684,2009-11-09,2026-02-03
2719786.0,"Surgical boot/shoe, each",Device,HCPCS,HCPCS,S,L3260,4835,4296,2009-05-20,2026-02-04
