SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
8310-5,3020891,3020891,Body temperature,LOINC,8310-5,S,93863845
8867-4,3027018,3027018,Heart rate,LOINC,8867-4,S,91673050
9279-1,3024171,3024171,Respiratory rate,LOINC,9279-1,S,84577765
8480-6,3004249,3004249,Systolic blood pressure,LOINC,8480-6,S,83766793
59408-5,40762499,40762499,Oxygen saturation in Arterial blood by Pulse oximetry,LOINC,59408-5,S,83627943
8462-4,3012888,3012888,Diastolic blood pressure,LOINC,8462-4,S,82597592
72514-3,43055141,43055141,Pain severity - 0-10 verbal numeric rating [Score] - Reported,LOINC,72514-3,S,67099972
8478-0,3027598,3027598,Mean blood pressure,LOINC,8478-0,S,53218415
8302-2,3036277,3036277,Body height,LOINC,8302-2,S,35232947
29463-7,3025315,3025315,Body weight,LOINC,29463-7,S,33065711
3141-9,3013762,3013762,Body weight Measured,LOINC,3141-9,S,32554955
9187-6,3014315,3014315,Urine output,LOINC,9187-6,S,23307959
19993-5,3025524,3025524,Oxygen/Gas total Inhaled gas by Gas dilution.rebreath,LOINC,19993-5,S,17804713
3151-8,3005629,3005629,Inhaled oxygen flow rate,LOINC,3151-8,S,16367348
8277-6,3005424,3005424,Body surface area,LOINC,8277-6,S,14543117
39156-5,3038553,3038553,Body mass index (BMI) [Ratio],LOINC,39156-5,S,14538944
59574-4,40762636,40762636,Body mass index (BMI) [Percentile],LOINC,59574-4,S,14538941
50064-5,3032445,3032445,Ideal body weight,LOINC,50064-5,S,12668354
38227-5,3035519,3035519,Braden scale total score,LOINC,38227-5,S,12626316
8641-3,3026611,3026611,Left eye Pupil diameter Manual,LOINC,8641-3,S,12515786
76215-3,21490853,21490853,Invasive Systolic blood pressure,LOINC,76215-3,S,11954689
76213-8,21490851,21490851,Invasive Diastolic blood pressure,LOINC,76213-8,S,11944727
8643-9,3010321,3010321,Right eye Pupil diameter Manual,LOINC,8643-9,S,11859930
71835-3,42869590,42869590,Oxygen/Gas total [Pure volume fraction] Inhaled gas,LOINC,71835-3,S,11677033
96790-1,1616852,1616852,SOFA Total Score,LOINC,96790-1,S,10814544
2160-0,3016723,3016723,Creatinine [Mass/volume] in Serum or Plasma,LOINC,2160-0,S,10157420
2345-7,3004501,3004501,Glucose [Mass/volume] in Serum or Plasma,LOINC,2345-7,S,10120045
3094-0,3013682,3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,LOINC,3094-0,S,10090244
17861-6,3006906,3006906,Calcium [Mass/volume] in Serum or Plasma,LOINC,17861-6,S,10082440
10466-1,3021391,3021391,Anion gap 3 in Serum or Plasma,LOINC,10466-1,S,10047864
2028-9,3015632,3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",LOINC,2028-9,S,10043773
2075-0,3014576,3014576,Chloride [Moles/volume] in Serum or Plasma,LOINC,2075-0,S,9953468
9000-1,3012677,3012677,Fluid intake oral Measured,LOINC,9000-1,S,9547119
9269-2,3007194,3007194,Glasgow coma score total,LOINC,9269-2,S,9472124
33914-3,3030354,46236952,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LOINC,77147-7,S,9465935
20075-8,3016226,3016226,PEEP Respiratory system,LOINC,20075-8,S,9334999
6690-2,3000905,3000905,Leukocytes [#/volume] in Blood by Automated count,LOINC,6690-2,S,9309471
33256-9,3046900,3046900,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,LOINC,33256-9,S,9227828
789-8,3020416,3020416,Erythrocytes [#/volume] in Blood by Automated count,LOINC,789-8,S,9226816
787-2,3023599,3023599,MCV [Entitic volume] by Automated count,LOINC,787-2,S,9225697
786-4,3009744,3009744,MCHC [Mass/volume] by Automated count,LOINC,786-4,S,9225564
785-6,3012030,3012030,MCH [Entitic mass] by Automated count,LOINC,785-6,S,9225456
