SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
1795480,36249711,36249711,250 ML glucose 100 MG/ML Injection,RxNorm,1795480,S,1782528
847630,19135374,19135374,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,RxNorm,847630,S,1462158
313782,1127433,1127433,acetaminophen 325 MG Oral Tablet,RxNorm,313782,S,1290818
1735003,35603428,35603428,2 ML fentanyl 0.05 MG/ML Injection,RxNorm,1735003,S,1173448
1807639,40220357,40220357,1000 ML sodium chloride 9 MG/ML Injection,RxNorm,1807639,S,1143030
1049621,40232756,40232756,oxycodone hydrochloride 5 MG Oral Tablet,RxNorm,1049621,S,1038221
283504,19070869,19070869,ondansetron 2 MG/ML Injectable Solution,RxNorm,283504,S,963222
1653204,46234049,46234049,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",RxNorm,1653204,S,955654
310519,19077653,19077653,glucose 4000 MG Chewable Tablet,RxNorm,310519,S,786214
1740467,35605482,35605482,2 ML ondansetron 2 MG/ML Injection,RxNorm,1740467,S,651187
1362049,43011884,43011884,"heparin sodium, porcine 10 UNT/ML Prefilled Syringe",RxNorm,1362049,S,506271
314200,19080217,19080217,pantoprazole 40 MG Delayed Release Oral Tablet,RxNorm,314200,S,492852
9863,967823,967823,sodium chloride,RxNorm,9863,S,476303
847232,1502910,1502910,3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus],RxNorm,847232,S,470042
1658259,46275280,46275280,50 ML magnesium sulfate 40 MG/ML Injection,RxNorm,1658259,S,430542
313572,1707772,1707772,vancomycin 50 MG/ML Injectable Solution,RxNorm,313572,S,423893
2056527,778983,46275999,influenza B virus antigen,RxNorm,1657134,S,394326
727517,1560751,1560751,50 ML glucose 500 MG/ML Prefilled Syringe,RxNorm,727517,S,375181
311700,19078924,19078924,midazolam 1 MG/ML Injectable Solution,RxNorm,311700,S,374064
1247756,42708658,42708658,docusate sodium 100 MG Oral Capsule [Colace],RxNorm,1247756,S,366073
310431,19077548,19077548,gabapentin 300 MG Oral Capsule,RxNorm,310431,S,363415
312935,938330,938330,"sennosides, USP 8.6 MG Oral Tablet",RxNorm,312935,S,360843
1375985,43526056,43526056,cholecalciferol 0.01 MG / glucose 4000 MG Chewable Tablet,RxNorm,1375985,S,344777
876195,40167261,40167261,polyethylene glycol 3350 17000 MG Powder for Oral Solution [Miralax],RxNorm,876195,S,343362
866924,40167213,40167213,metoprolol tartrate 25 MG Oral Tablet,RxNorm,866924,S,335928
835603,19134047,19134047,tramadol hydrochloride 50 MG Oral Tablet,RxNorm,835603,S,333833
1049221,40231925,40231925,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,RxNorm,1049221,S,331202
856377,40163473,40163473,trazodone hydrochloride 50 MG Oral Tablet,RxNorm,856377,S,326005
998212,40223140,40223140,1 ML morphine sulfate 2 MG/ML Prefilled Syringe,RxNorm,998212,S,323804
