SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
XR,,45768258.0,Basic diagnostic x-ray system,SNOMED,706294009,S,4910390
CT,,45768256.0,Computed tomography system thermography system,SNOMED,706289009,S,2561741
US,,45768281.0,Ultrasound imaging system,SNOMED,706332007,S,1082521
MR,,4234381.0,Magnetic resonance imaging unit,SNOMED,90003000,S,688739
EC,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,657818
MA,,45768274.0,Mammographic x-ray system,SNOMED,706318005,S,611983
OT,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,435107
RF,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,349398
GY,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,258388
NM,,45768276.0,Nuclear medicine system,SNOMED,706321007,S,183997
XA,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,183136
BD,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,142648
CC,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,112312
VS,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,105398
CG,,4121561.0,ECG lead,SNOMED,257467001,S,92712
OS,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,86814
PT,,45757906.0,PET system,SNOMED,462323006,S,73537
Q9967,2720870.0,2720870.0,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",HCPCS,Q9967,S,61674
Q9957,2720860.0,2720860.0,"Injection, perflutren lipid microspheres, per ml",HCPCS,Q9957,S,51349
EP,,4223622.0,Implant,SNOMED,40388003,S,46726
A9552,2615373.0,2615373.0,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",HCPCS,A9552,S,37056
77334,2211851.0,2211851.0,"Treatment devices, design and construction; complex (irregular blocks, special shields, compensators, wedges, molds or casts)",CPT4,77334,S,36061
PE,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,23115
NV,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,19936
A9579,2615397.0,2615397.0,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",HCPCS,A9579,S,16644
A9500,2615322.0,2615322.0,"Technetium tc-99m sestamibi, diagnostic, per study dose",HCPCS,A9500,S,16386
A9270,2615309.0,2615309.0,Non-covered item or service,HCPCS,A9270,S,13009
L0172,2719425.0,2719425.0,"Cervical, collar, semi-rigid thermoplastic foam, two-piece, prefabricated, off-the-shelf",HCPCS,L0172,S,12867
L3908,2719876.0,2719876.0,"Wrist hand orthosis, wrist extension control cock-up, non molded, prefabricated, off-the-shelf",HCPCS,L3908,S,10754
L4386,2719965.0,2719965.0,"Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L4386,S,8460
L1902,2719609.0,2719609.0,"Ankle orthosis, ankle gauntlet or similar, with or without joints, prefabricated, off-the-shelf",HCPCS,L1902,S,8024
L0637,2719504.0,2719504.0,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panels, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure t...",HCPCS,L0637,S,7506
L0999,2719532.0,2719532.0,"Addition to spinal orthosis, not otherwise specified",HCPCS,L0999,S,6643
A9300,2615321.0,2615321.0,Exercise equipment,HCPCS,A9300,S,6578
UR,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,6417
A9900,2615405.0,2615405.0,"Miscellaneous dme supply, accessory, and/or service component of another hcpcs code",HCPCS,A9900,S,6381
L4361,44786594.0,44786594.0,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated, off-the-shelf",HCPCS,L4361,S,5881
VL,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,5343
L1832,2719591.0,2719591.0,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L1832,S,5045
L3260,2719786.0,2719786.0,"Surgical boot/shoe, each",HCPCS,L3260,S,4835
A6530,2615214.0,2615214.0,"Gradient compression stocking, below knee, 18-30 mmhg, each",HCPCS,A6530,S,4767
L3933,2719901.0,2719901.0,"Finger orthosis, without joints, may include soft interface, custom fabricated, includes fitting and adjustment",HCPCS,L3933,S,4744
A6533,2615217.0,2615217.0,"Gradient compression stocking, thigh length, 18-30 mmhg, each",HCPCS,A6533,S,4329
L4360,2719962.0,2719962.0,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L4360,S,4131
L3808,2719856.0,2719856.0,"Wrist hand finger orthosis, rigid without joints, may include soft interface material; straps, custom fabricated, includes fitting and adjustment",HCPCS,L3808,S,4046
L4396,2719969.0,2719969.0,"Static or dynamic ankle foot orthosis, including soft interface material, adjustable for fit, for positioning, may be used for minimal ambulation, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a speci...",HCPCS,L4396,S,3685
L2999,2719736.0,2719736.0,"Lower extremity orthoses, not otherwise specified",HCPCS,L2999,S,3198
E0484,2616646.0,2616646.0,"Oscillatory positive expiratory pressure device, non-electric, any type, each",HCPCS,E0484,S,3068
L3807,2719855.0,2719855.0,"Wrist hand finger orthosis, without joint(s), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L3807,S,2939
L3913,2719881.0,2719881.0,"Hand finger orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",HCPCS,L3913,S,2767
A9585,40664904.0,40664904.0,"Injection, gadobutrol, 0.1 ml",HCPCS,A9585,S,2749
A4627,2614937.0,2614937.0,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",HCPCS,A4627,S,2683
A4357,2614783.0,2614783.0,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",HCPCS,A4357,S,2640
A4556,2614899.0,2614899.0,"Electrodes, (e.g., apnea monitor), per pair",HCPCS,A4556,S,2553
L8420,2720421.0,2720421.0,"Prosthetic sock, multiple ply, below knee, each",HCPCS,L8420,S,2548
A9587,1314290.0,1314290.0,"Gallium ga-68, dotatate, diagnostic, 0.1 millicurie",HCPCS,A9587,S,2542
A4358,2614784.0,2614784.0,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",HCPCS,A4358,S,2427
PC,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,2424
A9502,2615324.0,2615324.0,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",HCPCS,A9502,S,2290
L5673,2720068.0,2720068.0,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",HCPCS,L5673,S,2263
V5090,2721924.0,2721924.0,"Dispensing fee, unspecified hearing aid",HCPCS,V5090,S,2141
L3923,2719891.0,2719891.0,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L3923,S,2046
A4927,2615031.0,2615031.0,"Gloves, non-sterile, per 100",HCPCS,A4927,S,2027
S8427,2721399.0,2721399.0,"Gradient pressure aid (glove), ready made",HCPCS,S8427,S,2023
V5261,2721961.0,2721961.0,"Hearing aid, digital, binaural, bte",HCPCS,V5261,S,1890
L1810,2719585.0,2719585.0,"Knee orthosis, elastic with joints, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L1810,S,1815
L1932,2719616.0,2719616.0,"Afo, rigid anterior tibial section, total carbon fiber or equal material, prefabricated, includes fitting and adjustment",HCPCS,L1932,S,1758
A5500,2615071.0,2615071.0,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",HCPCS,A5500,S,1721
L1930,2719615.0,2719615.0,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment",HCPCS,L1930,S,1683
L8470,2720427.0,2720427.0,"Prosthetic sock, single ply, fitting, below knee, each",HCPCS,L8470,S,1682
L5671,2720066.0,2720066.0,"Addition to lower extremity, below knee / above knee suspension locking mechanism (shuttle, lanyard or equal), excludes socket insert",HCPCS,L5671,S,1680
L4350,2719961.0,2719961.0,"Ankle control orthosis, stirrup style, rigid, includes any type interface (e.g., pneumatic, gel), prefabricated, off-the-shelf",HCPCS,L4350,S,1657
