ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
4169265,Device,Device,SNOMED,Physical Object,S,49062001,128,12642993,991468,1968-07-14,2026-03-08
4126705,Physical object,Device,SNOMED,Physical Object,S,260787004,70,12642296,991416,1969-12-01,2026-03-08
45769143,Device system,Device,SNOMED,Physical Object,S,707728009,29,9424445,856377,1955-06-15,2026-03-08
4156229,Clinical equipment and/or device,Device,SNOMED,Physical Object,S,272181003,169,8130130,883609,1962-03-27,2026-03-08
4125334,Biomedical equipment,Device,SNOMED,Physical Object,S,303607000,85,7989158,877596,1968-07-14,2026-03-08
4151913,Diagnostic imaging equipment,Device,SNOMED,Physical Object,S,314789007,6,7988277,877543,2003-12-12,2026-03-08
45768258,Basic diagnostic x-ray system,Device,SNOMED,Physical Object,S,706294009,1,4910390,668106,2003-12-12,2026-03-08
45768257,Thermography system,Device,SNOMED,Physical Object,S,706290000,1,2561741,483679,2003-12-12,2026-03-08
45768256,Computed tomography system thermography system,Device,SNOMED,Physical Object,S,706289009,1,2561741,483679,2003-12-12,2026-03-08
45768281,Ultrasound imaging system,Device,SNOMED,Physical Object,S,706332007,2,1082522,356074,2003-12-12,2026-03-08
4234381,Magnetic resonance imaging unit,Device,SNOMED,Physical Object,S,90003000,1,688739,238159,2003-12-22,2026-03-05
45768273,Breast imaging system,Device,SNOMED,Physical Object,S,706317000,2,611984,81492,2003-12-31,2026-03-05
45768274,Mammographic x-ray system,Device,SNOMED,Physical Object,S,706318005,1,611983,81492,2003-12-31,2026-03-05
45768276,Nuclear medicine system,Device,SNOMED,Physical Object,S,706321007,1,183997,104650,2003-12-12,2026-03-05
4272314,Biomedical device,Device,SNOMED,Physical Object,S,63653004,168,141432,67045,1962-03-27,2026-03-05
4124230,Cardiothoracic device,Device,SNOMED,Physical Object,S,303622005,2,92713,48709,2010-11-30,2023-11-01
4121561,ECG lead,Device,SNOMED,Physical Object,S,257467001,1,92712,48708,2010-11-30,2021-06-20
45757906,PET system,Device,SNOMED,Physical Object,S,462323006,1,73537,30692,2004-01-30,2026-03-03
2720870,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",Device,HCPCS,HCPCS,S,Q9967,1,61674,33237,2009-06-12,2026-02-11
2720860,"Injection, perflutren lipid microspheres, per ml",Device,HCPCS,HCPCS,S,Q9957,1,51349,35937,2010-01-13,2026-02-12
4223622,Implant,Device,SNOMED,Physical Object,S,40388003,90,47657,26809,1969-12-01,2026-03-05
2615373,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",Device,HCPCS,HCPCS,S,A9552,1,37056,18233,2012-01-03,2026-02-13
4235761,Field block design and fabrication,Procedure,SNOMED,Procedure,S,90564003,1,36061,23144,2009-03-03,2026-02-11
4044940,Radiotherapy planning,Procedure,SNOMED,Procedure,S,228703003,1,36061,23144,2009-03-03,2026-02-11
4040580,Making of shielding block for radiotherapy,Procedure,SNOMED,Procedure,S,228720004,1,36061,23144,2009-03-03,2026-02-11
4040578,Radiotherapy planning using mold room preparation,Procedure,SNOMED,Procedure,S,228713006,1,36061,23144,2009-03-03,2026-02-11
2211851,"Treatment devices, design and construction; complex (irregular blocks, special shields, compensators, wedges, molds or casts)",Device,CPT4,CPT4,S,77334,1,36061,23144,2009-03-03,2026-02-11
45890260,Radiation Oncology Treatment,Procedure,CPT4,CPT4 Hierarchy,C,1010843,1,36061,23144,2009-03-03,2026-02-11
46272569,Biomedical equipment procedure,Procedure,SNOMED,Procedure,S,710955000,1,36061,23144,2009-03-03,2026-02-11
45889197,Current Procedural Terminology Concept,Procedure,CPT4,CPT4 Hierarchy,C,1002795,1,36061,23144,2009-03-03,2026-02-11
45888784,"Treatment devices, design and construction",Procedure,CPT4,CPT4 Hierarchy,C,1010868,1,36061,23144,2009-03-03,2026-02-11
